grid_lat,grid_lon,n_species_baseline,n_species_recent,richness_change,richness_ratio,climate_departure
39.0,-4.5,0.0,1.0,1.0,,0.07666666666666666
39.0,-4.25,0.0,1.0,1.0,,0.08333333333333333
39.0,-4.0,4.0,1.0,-3.0,0.25,0.08333333333333333
39.0,-3.75,1.0,1.0,0.0,1.0,0.09333333333333334
39.0,-3.5,0.0,1.0,1.0,,0.09333333333333334
39.0,-3.0,0.0,1.0,1.0,,0.12
39.0,-2.75,1.0,1.0,0.0,1.0,0.12333333333333334
39.0,-2.0,0.0,1.0,1.0,,0.10666666666666667
39.0,-1.75,0.0,1.0,1.0,,0.1
39.0,-1.0,0.0,1.0,1.0,,0.12666666666666668
39.0,-0.75,0.0,2.0,2.0,,0.12666666666666668
39.0,-0.5,0.0,1.0,1.0,,0.13
39.0,-0.25,0.0,1.0,1.0,,0.09666666666666666
39.0,1.25,0.0,1.0,1.0,,0.06666666666666667
39.0,1.5,2.0,1.0,-1.0,0.5,0.07
39.25,-9.5,0.0,3.0,3.0,,0.03666666666666667
39.25,-9.25,2.0,5.0,3.0,2.5,0.03
39.25,-9.0,0.0,5.0,5.0,,0.016666666666666666
39.25,-8.75,1.0,3.0,2.0,3.0,0.01
39.25,-8.5,0.0,2.0,2.0,,0.01
39.25,-8.25,2.0,0.0,-2.0,0.0,0.013333333333333334
39.25,-7.5,1.0,3.0,2.0,3.0,0.006666666666666667
39.25,-7.25,0.0,2.0,2.0,,0.006666666666666667
39.25,-6.25,2.0,0.0,-2.0,0.0,0.03666666666666667
39.25,-4.5,0.0,1.0,1.0,,0.06666666666666667
39.25,-4.25,1.0,1.0,0.0,1.0,0.06
39.25,-4.0,0.0,1.0,1.0,,0.06333333333333334
39.25,-3.75,0.0,1.0,1.0,,0.06666666666666667
39.25,-2.5,0.0,1.0,1.0,,0.11666666666666667
39.25,-1.75,0.0,1.0,1.0,,0.06333333333333334
39.25,-1.25,0.0,1.0,1.0,,0.07333333333333333
39.25,-1.0,0.0,2.0,2.0,,0.1
39.25,-0.75,1.0,0.0,-1.0,0.0,0.1
39.25,-0.5,1.0,1.0,0.0,1.0,0.10666666666666667
39.25,-0.25,0.0,1.0,1.0,,0.08333333333333333
39.25,3.0,0.0,1.0,1.0,,0.05
39.25,3.25,0.0,1.0,1.0,,0.03666666666666667
39.5,-31.25,0.0,2.0,2.0,,0.07
39.5,-9.5,0.0,1.0,1.0,,0.05333333333333334
39.5,-9.25,2.0,5.0,3.0,2.5,0.03333333333333333
39.5,-9.0,3.0,4.0,1.0,1.3333333333333333,0.02666666666666667
39.5,-8.75,2.0,5.0,3.0,2.5,0.013333333333333334
39.5,-8.5,3.0,5.0,2.0,1.6666666666666667,0.01
39.5,-8.25,0.0,2.0,2.0,,0.01
39.5,-8.0,0.0,4.0,4.0,,0.01
39.5,-7.75,0.0,1.0,1.0,,0.006666666666666667
39.5,-7.5,0.0,2.0,2.0,,0.006666666666666667
39.5,-7.25,0.0,2.0,2.0,,0.01
39.5,-6.25,0.0,1.0,1.0,,0.02666666666666667
39.5,-6.0,0.0,1.0,1.0,,0.043333333333333335
39.5,-5.75,0.0,1.0,1.0,,0.043333333333333335
39.5,-5.5,2.0,1.0,-1.0,0.5,0.043333333333333335
39.5,-5.25,0.0,1.0,1.0,,0.04666666666666667
39.5,-4.75,0.0,1.0,1.0,,0.05333333333333334
39.5,-4.5,1.0,2.0,1.0,2.0,0.05333333333333334
39.5,-4.25,1.0,1.0,0.0,1.0,0.05333333333333334
39.5,-3.75,1.0,0.0,-1.0,0.0,0.06
39.5,-3.25,0.0,1.0,1.0,,0.06666666666666667
39.5,-2.75,1.0,0.0,-1.0,0.0,0.10333333333333333
39.5,-2.5,0.0,1.0,1.0,,0.13666666666666666
39.5,-2.25,0.0,1.0,1.0,,0.13333333333333333
39.5,-2.0,0.0,2.0,2.0,,0.10666666666666667
39.5,-1.75,0.0,1.0,1.0,,0.056666666666666664
39.5,-1.5,0.0,1.0,1.0,,0.056666666666666664
39.5,-1.0,0.0,2.0,2.0,,0.10333333333333333
39.5,-0.75,1.0,1.0,0.0,1.0,0.12
39.5,-0.5,5.0,2.0,-3.0,0.4,0.09666666666666666
39.5,-0.25,0.0,1.0,1.0,,0.07
39.5,2.5,0.0,1.0,1.0,,0.05333333333333334
39.5,2.75,0.0,1.0,1.0,,0.08
39.5,3.0,1.0,1.0,0.0,1.0,0.07666666666666666
39.5,3.25,0.0,1.0,1.0,,0.06333333333333334
39.5,3.5,0.0,1.0,1.0,,0.04
39.75,-31.0,0.0,1.0,1.0,,0.07666666666666666
39.75,-9.0,0.0,3.0,3.0,,0.03
39.75,-8.75,4.0,5.0,1.0,1.25,0.016666666666666666
39.75,-8.5,1.0,4.0,3.0,4.0,0.01
39.75,-8.25,0.0,3.0,3.0,,0.01
39.75,-8.0,0.0,2.0,2.0,,0.006666666666666667
39.75,-7.75,0.0,2.0,2.0,,0.006666666666666667
39.75,-7.5,0.0,1.0,1.0,,0.006666666666666667
39.75,-7.0,0.0,1.0,1.0,,0.016666666666666666
39.75,-6.25,0.0,1.0,1.0,,0.03
39.75,-6.0,0.0,1.0,1.0,,0.03333333333333333
39.75,-5.75,0.0,1.0,1.0,,0.04666666666666667
39.75,-5.25,1.0,0.0,-1.0,0.0,0.06
39.75,-4.75,0.0,1.0,1.0,,0.056666666666666664
39.75,-4.5,0.0,1.0,1.0,,0.06333333333333334
39.75,-4.0,4.0,1.0,-3.0,0.25,0.05333333333333334
39.75,-2.25,0.0,1.0,1.0,,0.13333333333333333
39.75,-1.25,0.0,1.0,1.0,,0.08
39.75,-1.0,3.0,2.0,-1.0,0.6666666666666666,0.10666666666666667
39.75,-0.75,0.0,1.0,1.0,,0.10333333333333333
39.75,-0.5,0.0,1.0,1.0,,0.08666666666666667
