species,cell_id,n_obs_baseline,present_baseline,n_obs_recent,present_recent,outcome,extinction,colonization,persistence,temp_baseline,temp_recent,temp_delta,temp_baseline_max,cpi_baseline,cpi_recent,cpi_delta
Bombus lucorum,-1_47,0.0,0,3.0,1,2,0,1,0,9.59281063079834,11.434520721435547,1.841710090637207,21.094146728515625,0.34816478397513,0.5158988245250885,0.1677340405499585
Bombus lucorum,-1_49,64.0,1,38.0,1,1,0,0,1,6.027148723602295,7.814065456390381,1.786916732788086,18.328521728515625,0.02342155648804201,0.18616528322365153,0.16274372673560952
Bombus lucorum,-2_47,6.0,1,4.0,1,1,0,0,1,9.104153633117676,11.134865760803223,2.030712127685547,20.967193603515625,0.3036602698929864,0.488607701142956,0.1849474312499696
Bombus lucorum,-2_48,2.0,1,1.0,1,1,0,0,1,10.508512496948242,12.313421249389648,1.8049087524414062,21.783599853515625,0.43156247763456956,0.595944830432689,0.1643823527981194
Bombus lucorum,-2_49,1.0,1,5.0,1,1,0,0,1,10.554611206054688,12.133622169494629,1.5790109634399414,21.414459228515625,0.4357609249265024,0.5795696005247495,0.14380867559824706
Bombus lucorum,-3_44,1.0,1,1.0,1,1,0,0,1,13.382786750793457,15.417236328125,2.034449577331543,25.058990478515625,0.6933374642066257,0.878625284279821,0.18528782007319533
Bombus lucorum,-3_47,2.0,1,0.0,0,-1,1,0,0,11.781412124633789,13.651395797729492,1.8699836730957031,24.385162353515625,0.5474920144556246,0.7178010760421162,0.17030906158649162
Bombus lucorum,-3_48,2.0,1,0.0,0,-1,1,0,0,10.516944885253906,12.413270950317383,1.8963260650634766,22.965240478515625,0.43233045874581266,0.6050386578865632,0.17270819914075053
Bombus lucorum,-3_49,4.0,1,3.0,1,1,0,0,1,10.40583610534668,11.856897354125977,1.4510612487792969,20.299224853515625,0.42221120887627045,0.5543668437835048,0.1321556349072343
Bombus lucorum,-3_50,1.0,1,1.0,1,1,0,0,1,12.523505210876465,13.663824081420898,1.1403188705444336,20.113677978515625,0.6150782607668485,0.7189329839635955,0.10385472319674705
Bombus lucorum,-4_47,25.0,1,59.0,1,1,0,0,1,13.649563789367676,15.053909301757812,1.4043455123901367,26.326324462890625,0.7176342255880676,0.8455352173450819,0.1279009917570143
Bombus lucorum,-4_48,7.0,1,1.0,1,1,0,0,1,9.358485221862793,10.9841890335083,1.6257038116455078,21.433990478515625,0.3268235599442176,0.47488479414770945,0.14806123420349188
Bombus lucorum,-4_49,2.0,1,1.0,1,1,0,0,1,9.322877883911133,10.782659530639648,1.4597816467285156,18.678131103515625,0.32358061595524623,0.4565304624979936,0.13294984654274739
Bombus lucorum,-4_50,1.0,1,0.0,0,-1,1,0,0,11.204657554626465,12.420002937316895,1.2153453826904297,19.348052978515625,0.49496399990828,0.6056517746773645,0.11068777476908453
Bombus lucorum,-5_45,1.0,1,0.0,0,-1,1,0,0,15.373108863830566,17.025484085083008,1.6523752212524414,27.339019775390625,0.8746063684238686,1.0250967055156366,0.15049033709176796
Bombus lucorum,-5_46,0.0,0,1.0,1,2,0,1,0,13.456930160522461,14.879266738891602,1.4223365783691406,26.244537353515625,0.7000900870853406,0.8296296180488242,0.12953953096348358
Bombus lucorum,-5_47,1.0,1,12.0,1,1,0,0,1,11.073504447937012,12.498088836669922,1.4245843887329102,23.736724853515625,0.48301920977679386,0.6127634604280404,0.12974425065124656
Bombus lucorum,-5_49,0.0,0,9.0,1,2,0,1,0,8.755682945251465,10.272171020507812,1.5164880752563477,18.526519775390625,0.2719232463591685,0.4100376399337671,0.1381143935745986
